,zurui,,,,,,,,,
,"作詞作曲編曲：meiyo, 向田民子",,,,,,,,,
,ミックス＆マスタリングエンジニア：NNZN,,,,,,,,,
,英題：zurui,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,歌詞,英語,英語の再翻訳,ローマ字,繁体字,簡体字,韓国語,インドネシア語,ポルトガル語,タイ語
,ずーるい ずるい,"No fair, no fair",ずるい、ずるいよ,Zūrui zurui,太犯規了 犯規啦,太犯规了 犯规啦,반칙이야 반칙,"Curang, curang","Não vale, não vale",ขี้โกง ขี้โกงจัง
,まあ どうしましょ,"Oh my, what should I do?",あら、どうしましょう？,Mā dō shimasho,哎呀，怎麼辦呢,哎呀，怎么办呢,"어머, 어떡하죠","Aduh, bagaimana ini?","Nossa, e agora, o que eu faço?",โอ้ ทำยังไงดีล่ะ
,ずるい ずるいわ,"No fair, you're so unfair",ずるい、あなたってずるいわ,Zurui zurui wa,犯規 太犯規了啦,犯规 太犯规了啦,"반칙, 정말 반칙이야","Curang, kamu curang sekali","Não vale, assim não vale",ขี้โกง ขี้โกงจริงๆ เลย
,まい上がって,My heart's soaring high,心が舞い上がって,Maiagatte,心都飛上天了,心都飞上天了,마음이 들떠 버려서,Hatiku melambung tinggi,Meu coração está nas nuvens,ใจลอยขึ้นไปสูงเลย
,,,,,,,,,,
,あっちむいて（ほい）,Look that way (hoi!),あっちを向いて（ほい）,Acchi muite (hoi),看那邊（嘿！）,看那边（嘿！）,저쪽 봐 (호이!),Lihat ke sana (hoi!),Olha pra lá (hoi!),หันไปทางโน้น (โฮ่ย!)
,こっち向かないで、で、で、で？,"Don't look my way, way, way, way?",こっちを向かないで、で、で、で？,"Kocchi mukanaide, de, de, de?",不要看這邊、邊、邊、邊？,不要看这边、边、边、边？,"이쪽 보지 마, 마, 마, 마?","Jangan lihat ke sini, ni, ni, ni?","Não olha pra cá, cá, cá, cá?",อย่าหันมาทางนี้ นี้ นี้ นี้?
,,,,,,,,,,
,「もしかして、メガネ変えました？」,"""Um, did you get new glasses, by any chance?""",「もしかして、新しいメガネにしましたか？」,"""Moshikashite, megane kaemashita?""",「該不會是換了新眼鏡吧？」,「该不会是换了新眼镜吧？」,"""혹시, 안경 바꾸셨어요?""","""Jangan-jangan, kamu ganti kacamata?""","""Por acaso, você trocou de óculos?""","""หรือว่าจะเปลี่ยนแว่นใหม่คะ?"""
,はい変えました なぜバレました？,"""Yes, I did — how could you tell?""",「はい、変えました。どうしてわかったんですか？」,Hai kaemashita naze baremashita?,「對，換了。怎麼被你發現的？」,「对，换了。怎么被你发现的？」,"""네, 바꿨어요. 어떻게 아셨어요?""","""Iya, aku ganti. Kok bisa tahu?""","""Sim, troquei. Como você percebeu?""","""ใช่ เปลี่ยนแล้ว รู้ได้ยังไงเนี่ย?"""
,それからまじまじのちモジモジ,"Then a good hard stare, then bashful fidgeting",それからじっと見つめて、そのあとモジモジ,Sorekara majimaji nochi mojimoji,接著目不轉睛，然後扭扭捏捏,接着目不转睛，然后扭扭捏捏,그러곤 빤히 보다가 이내 쭈뼛쭈뼛,"Lalu menatap lekat-lekat, kemudian salah tingkah","Depois um olhar fixo, e então pura timidez",จากนั้นก็จ้องเขม็ง แล้วก็เขินอาย
,ところによりドキドキの気持ち,With scattered heart-flutters here and there,ところどころでドキドキする気持ち,Tokoro ni yori dokidoki no kimochi,局部地區出現小鹿亂撞的心情,局部地区出现小鹿乱撞的心情,곳에 따라 두근두근한 기분,Kadang-kadang hati berdebar-debar,Com momentos de coração acelerado aqui e ali,บางช่วงก็ใจเต้นตึกตัก
,,,,,,,,,,
,開く 絹のハンカチ,A silk handkerchief unfolds,絹のハンカチが開く,Hiraku kinu no hankachi,攤開的絲綢手帕,摊开的丝绸手帕,펼쳐지는 실크 손수건,Saputangan sutra yang terbuka,Um lenço de seda se abre,ผ้าเช็ดหน้าผ้าไหมคลี่ออก
,意外と丁寧な電話口,Surprisingly polite over the phone,意外と丁寧な電話での話し方,Igai to teinei na denwaguchi,講電話時意外地彬彬有禮,讲电话时意外地彬彬有礼,의외로 정중한 전화 목소리,Ternyata sopan sekali saat menelepon,Surpreendentemente educado ao telefone,เวลาคุยโทรศัพท์สุภาพเกินคาด
