date,series,type,event_or_partner,venue,city,capacity_approx,ticket_price_jpy,status,note
2024-01-20,Kroi Live at 日本武道館,ワンマン,初武道館,日本武道館,東京,14000,,ソールドアウト,初の武道館単独公演
2025-02-01,Live Tour 2024-2025 "Unspoil",ワンマン,ツアーファイナル・初アリーナ,ぴあアリーナMM,横浜,12000,,開催済,アンコール含む全22曲
2025-06-15,Kroi Acoustic Live 2025,アコースティック,初アコースティック公演,大阪城音楽堂,大阪,3000,5500,開催済,ドリンク代別
2025-07-07,Kroi Acoustic Live 2025,アコースティック,FC限定,恵比寿 The Garden Hall,東京,700,5500,開催済,ファンクラブ会員限定
2025-08-30,Live Tour 2025 - HALL,ワンマン,初ホールツアー,福岡サンパレス,福岡,2300,,開催済,
2025-09-15,Live Tour 2025 - HALL,ワンマン,初ホールツアー,仙台銀行ホール イズミティ21,仙台,1500,,開催済,
2025-09-23,Live Tour 2025 - HALL,ワンマン,初ホールツアー,広島JMSアステールプラザ,広島,1200,,開催済,
2025-09-24,Live Tour 2025 - HALL,ワンマン,初ホールツアー,Niterra日本特殊陶業市民会館,名古屋,2300,,開催済,
2025-10-03,Live Tour 2025 - HALL,ワンマン,初ホールツアー,札幌カナモトホール,札幌,1500,,開催済,
2025-10-09,Live Tour 2025 - HALL,ワンマン,初ホールツアー,大宮ソニックシティ,さいたま,2500,,開催済,
2025-10-13,Live Tour 2025 - HALL,ワンマン,初ホールツアー,新潟県民会館,新潟,1700,,開催済,
2026-01-11,Live Tour 2026 - ARENA,ワンマン,初アリーナツアー,大阪城ホール,大阪,16000,9000,開催済,全席指定9000円/U-20 7800円
2026-01-23,Live Tour 2026 - ARENA,ワンマン,初アリーナツアー,国立代々木競技場第一体育館,東京,13000,9000,開催済,U-NEXTで全編アーカイブ配信(3/6〜)
2026-05-31,METROCK 2026 OSAKA,フェス,BAY FIELD 10:45〜,海とのふれあい広場,大阪,,,開催済,
2026-07-04,スカパラ TOUR "VerSus Carnival",対バン(ゲスト),東京スカパラダイスオーケストラ,Zepp Osaka Bayside,大阪,2800,,開催済,
2026-07-25,FUJI ROCK FESTIVAL '26,フェス,2022年以来2度目の出演,苗場スキー場,新潟・湯沢,,,予定,
2026-08-10,Live Tour 2026 "JUNGLE",ワンマン,,KT Zepp Yokohama,横浜,2100,7000,予定,1F立見7000円/2F指定8000円
2026-08-20,Live Tour 2026 "JUNGLE",対バン,レキシ,Zepp Nagoya,名古屋,1900,7000,予定,
2026-08-21,Live Tour 2026 "JUNGLE",ワンマン,,Zepp Nagoya,名古屋,1900,7000,予定,
2026-08-29,Live Tour 2026 "JUNGLE",ワンマン,,Zepp Sapporo,札幌,2000,7000,予定,
2026-09-04,Live Tour 2026 "JUNGLE",対バン,iri,Zepp Fukuoka,福岡,2000,7000,予定,
2026-09-05,Live Tour 2026 "JUNGLE",ワンマン,,Zepp Fukuoka,福岡,2000,7000,予定,
2026-09-18,Live Tour 2026 "JUNGLE",対バン,KIRINJI,Zepp Osaka Bayside,大阪,2800,7000,予定,
2026-09-19,Live Tour 2026 "JUNGLE",ワンマン,,Zepp Osaka Bayside,大阪,2800,7000,予定,
2026-09-20,ROCK IN JAPAN FESTIVAL 2026,フェス,,蘇我スポーツ公園,千葉,,,予定,
2026-09-22,Live Tour 2026 "JUNGLE",対バン,東京スカパラダイスオーケストラ,Zepp Haneda,東京,2900,7000,予定,
2026-09-23,Live Tour 2026 "JUNGLE",ワンマン,ツアーファイナル,Zepp Haneda,東京,2900,7000,予定,
