date,platform,metric,value,note
2026-07-16,spotify,monthly_listeners,219252,
2026-07-16,spotify,followers,134003,
2026-07-16,spotify,top_track_streams,8596028,Sesame
2026-07-16,spotify,top_track_streams,5412375,Balmy Life
2026-07-16,spotify,top_track_streams,4661529,Method
2026-07-16,spotify,top_track_streams,3961927,Fire Brain
2026-07-16,spotify,top_track_streams,476584,Kinetic
2026-07-16,youtube,subscribers,332000,表記は33.2万人
2026-07-16,youtube,total_views,66731726,
2026-07-16,youtube,video_count,527,
2026-07-16,instagram,followers,89000,概数(89K表記)
