Apple順位,アーティスト,曲名,ソニー系判定(推定),対象月(確定月),Apple Music再生数(月次),Spotify合算(月次),サービス合計(月次),Apple比率,メモ
1,Mrs. GREEN APPLE,Lilac,,,,,,,
2,M!LK,Sukisugite METSU!,,,,,,,
3,sakanaction,Yoru No Odoriko,,,,,,,
4,Kenshi Yonezu,IRIS OUT,◎,,,,,,米津玄師=ソニー・ミュージックレーベルズ
5,M!LK,Bakuretsu Aishiteru,,,,,,,
6,ILLIT,It's Me,,,,,,,
7,Mrs. GREEN APPLE,Ao To Natsu,,,,,,,
8,Kenshi Yonezu,Karasu - Raven,◎,,,,,,※6/15配信開始→4月確定月データなし
9,back number,Hanataba,,,,,,,
10,ARASHI,Five,,,,,,,
11,HANA,Blue Jeans,△,,,,,,HANA=BMSG 流通ソニー系か要確認
12,back number,Takaneno Hanakosan,,,,,,,
13,Mrs. GREEN APPLE,Soranji,,,,,,,
14,Mrs. GREEN APPLE,lulu.,,,,,,,
15,Snow Man,Good Time,△,,,,,,Snow Man=MENT RECORDING 流通要確認
16,Mrs. GREEN APPLE,Tenbyouno Uta (feat. Sonoko Inoue),,,,,,,
17,M!LK,IDOLPOWER,,,,,,,
18,back number,Happy End,,,,,,,
19,Mrs. GREEN APPLE,Que Sera Sera,,,,,,,
20,=LOVE,Tokubechu Shite,◎,,,,,,=LOVE=SML
21,back number,Happy Birthday,,,,,,,
22,sakanaction,Kaiju,,,,,,,
23,HANA,ROSE,△,,,,,,
24,Mrs. GREEN APPLE,Darling,,,,,,,
25,BE:FIRST,Missing,△,,,,,,BE:FIRST=BMSG
26,Mrs. GREEN APPLE,Bokuno Koto,,,,,,,
27,Aimyon,Marigold,,,,,,,
28,Snow Man,CHARISMAX,△,,,,,,
29,Mrs. GREEN APPLE,Magic,,,,,,,
30,King Gnu,AIZO,◎,,,,,,King Gnu=Ariola
31,back number,Suiheisen,,,,,,,
32,M.Sasuke,Gg Ez,,,,,,,
33,ARASHI,Love so Sweet,,,,,,,
34,back number,Blue Amber,,,,,,,
35,Kvi Baba,Bpm (feat. KREVA),,,,,,,
36,"EBiDAN Ebisu Gakuen Boys Club, chotokkyu, M!LK & GNJB","Yes! Tokyo (feat. SUPER★DRAGON, Sakurashimeji, ONE N' ONLY, BUDDiiS, ICEx & Lienel)",,,,,,,
37,back number,Heroine,,,,,,,
38,Mrs. GREEN APPLE,Dance Hall,,,,,,,
39,Mrs. GREEN APPLE,Start,,,,,,,
40,Mrs. GREEN APPLE,Blue Ambience (feat. Asmi),,,,,,,
41,OFFICIAL HIGE DANDISM,115万キロのフィルム,,,,,,,
42,HANA,Bad Girl,△,,,,,,
43,back number,Watagashi,,,,,,,
44,VAUNDY,怪獣の花唄,,,,,,,
45,OFFICIAL HIGE DANDISM,Pretender,,,,,,,
46,Hikaru Utada,Automatic (Remastered 2014),,,,,,,
47,=LOVE,OhimesamanoTsukurikata,◎,,,,,,
48,Aina The End,On The Way,△,,,,,,アイナ・ジ・エンド 所属レーベル要確認
49,Mrs. GREEN APPLE,KUSUSHIKI,,,,,,,
50,=LOVE,GekiyakuChudoku,◎,,,,,,
51,ARASHI,Happiness,,,,,,,
52,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",Golden,,,,,,,
53,Mrs. GREEN APPLE,Wind and Town,,,,,,,
54,Michael Jackson,Billie Jean,○,,,,,,MJ=ソニー洋楽(SMJI) クロノリンク対象か要確認
55,ARASHI,One Love,,,,,,,
56,Kenshi Yonezu,Lemon,◎,,,,,,較正済(4月Apple比35.0%)
57,Chanmina,Sad Song,,,,,,,
58,Southern All Stars,Itoshi No Ellie,,,,,,,
59,aespa,LEMONADE,,,,,,,
60,Chanmina,Harenchi,,,,,,,
61,Southern All Stars,Tsunami,,,,,,,
