優先度,カテゴリ,名前,別名・ローマ字,職能,拠点,日本語,R&B適性,ダンス適性,K-POP/HYBE実績,その他代表作,所属・窓口,連絡先URL,SNS,DM開放(要確認),ステータス,打診日,反応,メモ
S,A:HYBE直系,UTA,UTA,プロデューサー/トラックメイカー/作曲/編曲,日本(東京),◎,★★★,★★★,"BTS「Don't leave me」「Let go」「Lights」「Stay Gold」「Your eyes tell」/&TEAM「The Final Countdown」/HYBE LABELS JAPANとプロデューサー契約(2023.5)","三浦大知,東方神起,AI,倖田來未,嵐,SKY-HI,Crystal Kay",tinyvoice production,https://www.tinyvoice.com/contact/,X:@utatvp,未確認,未着手,,,総合力No.1。R&B出自×ダンス×HYBE現在進行形×日本語ネイティブ
S,A:HYBE直系,SUNNY BOY,SUNNY BOY,プロデューサー/トラックメイカー/ソングライター/編曲/エンジニア,日本,◎(英語ネイティブ級),★★★,★★★,"BTS「Don't Leave Me」(Billboard World Digital Song Sales 1位)/SEVENTEEN/&TEAM「The Final Countdown」","BIGBANG,2NE1,安室奈美恵,三浦大知,登坂広臣",TINYVOICE PRODUCTION(在籍要確認),https://www.tinyvoice.com/contact/,X:@_SunnyBoy,未確認,未着手,,,6-20歳をハワイで育つ。英語詞を本人が書ける＝海外リーチと最相性
S,A:HYBE直系,源田爽馬,Soma Genda,作詞/作曲/編曲/プロデュース/ギター/エンジニア,日本(東京),◎,★★☆,★★★,"&TEAM「Under the skin」「FIREWORK」「五月雨」「Go in Blind」「illumination」ほぼ全曲/&AUDITION課題曲/&TEAMサウンドディレクター","BTS「Crystal Snow」,嵐「夜の影」,BoA",MUSIC FOR MUSIC(HYBE LABELS JAPAN在籍),https://www.musicformusic.jp/,X:@sowguitar / X:@mfmobg6,個人DM非推奨,未着手,,,★HYBE在籍。個人直打診はNG。必ず事務所経由で外部案件可否を確認
S,A:HYBE直系,Lauren Kaori,Lauren Kaori,トップライナー/作詞/ボーカル/ボーカルディレクション(日英),日本(東京),◎(英語ネイティブ級),★★★,★★☆,"&TEAM「Go in Blind(月狼)」/TWICE/NiziU/LE SSERAFIM/INI","Da-iCE,milet,Novelbright",obelisk inc.,https://obelisk.co.jp/creators/lauren-kaori/ (TEL 03-5421-7004),X:@laurenkaori / IG:@laurenkaori,未確認,未着手,,,トップライン本命。電話番号公開。トラックメイカーとのペア組み推奨
S,A:HYBE直系,岡嶋かな多,Kanata Okajima,作詞/作曲/音楽プロデュース/ボーカルプロデュース,日本(東京),◎(帰国子女・英語堪能),★★★,★★★,"BTS「Crystal Snow」/TXT/LE SSERAFIM「Star Signs」/TWICE「Wishing」/NiziU「Need U」「9 Colors」/少女時代/SHINee/Red Velvet/aespa/IVE/Kep1er","三浦大知「EXCITE」(レコ大優秀作品賞),嵐,安室奈美恵,King & Prince",フリー(MUSIC FOR MUSICと業務提携),https://www.musicformusic.jp/,X:@KanataOkajima / IG:@kanataokajima,フリーのため直接打診が正規,未着手,,,日本最強のK-POP実績。オリコン1位170曲超。事務所と本人SNSの両面で当てる
S,D:R&B×ダンス,Matt Cab,Matt Cab,プロデューサー/作詞/作曲/編曲/シンガー,日本(東京),◎(英語ネイティブ),★★★,★★★,BTS,"安室奈美恵,AI,JP THE WAVY,Awich,King & Prince,SKY-HI,BE:FIRST「Kick Start」,MAZZEL,加藤ミリヤ,w-inds.,m-flo",STARBASE INC.,https://starbase.jp/contact,-,未確認,未着手,,,英語ネイティブ×日本在住×R&B本籍。海外向け英語詞を内製可能
S,D:R&B×ダンス,Yaffle,小島裕規 / Yaffle,音楽プロデューサー/作曲/編曲/アーティスト,日本(東京),◎,★★★,★★☆,-,"藤井風,小袋成彬,米津玄師,SIRUP,iri,eill,柴咲コウ,川西拓実",★ソニーミュージック(2025年6月移籍),社内ルート,-,-,未着手,,,★社内照会最優先。keshi的な余白のある音を最高レベルで再現可能
A,A:HYBE直系,YUUKI SANO,YUUKI SANO,作詞/作曲/ボーカリスト,日本,◎,★★☆,★★★,&TEAM「illumination」,UNIONE(SME Recordsデビュー/2017年レコ大新人賞),要確認,-,-,未確認,未着手,,,★ソニー系(SME Records)デビュー経歴。社内に関係が残る可能性
A,A:HYBE直系,Naoki Itai,板井直樹,音楽プロデューサー/作曲/編曲,日本(埼玉),◎,★★☆,★★☆,-,"西野カナ「トリセツ」編曲(第57回レコ大優秀作品賞)/編曲754曲・作曲564曲",MUSIC FOR MUSIC(共同創業者),https://www.musicformusic.jp/,-,未確認,未着手,,,MUSIC FOR MUSICへ打診する際の話が通る相手
A,B:K-POP実績,ELVYN,上原潤 / JUNE,作詞家(歌手・ラッパー出身),日本(東京),◎(日英韓トリリンガル),★★☆,★★★,"NCT 127 YUTA/WayV TEN","SixTONES,Travis Japan",フリー(2025年6月に事務所退所),公式SNS,-,フリーのため直接打診が正規,未着手,,,PRODUCE 101 JAPANファイナリスト→作家転身。UNAのロールモデルにもなる
A,C:海外×日本窓口,Andreas Öberg,Andreas Oberg,ソングライター/プロデューサー/ギタリスト,スウェーデン,△(日本語窓口あり),★★★,★★★,"EXO,Red Velvet,NCT DREAM,TAEYEON,SHINee,SEVENTEEN,aespa,SUPER JUNIOR,TWICE,NiziU","日本30曲以上・韓国20曲以上のチャート首位/累計1700万枚超/ARTiffect",Soundgraphics Inc.(東京・世田谷),https://soundgraphics.net/contact/ar/,-,日本語フォームで到達可,未着手,,,Swedish King of K-Pop。英語不要でアプローチ可能
A,C:海外×日本窓口,Erik Lidbom,Erik Lidbom,ソングライター/編曲/プロデューサー,スウェーデン,△(日本語窓口あり),★★☆,★★★,少女時代「Genie」,"嵐/フィジカル累計8000万枚超・オリコン1位150回超",Soundgraphics Inc.,https://soundgraphics.net/contact/ar/,-,日本語フォームで到達可,未着手,,,J-POP業界と20年以上の関係
A,C:海外×日本窓口,ARTiffect,"Joacim Persson,Christoffer Jonsson,Andreas Öberg,AVENUE 52,SQVARE",作曲家チーム,スウェーデン,△(日本語窓口あり),★★★,★★★,"&TEAM「Cross the line」「君にカエル(Maybe)」「The Final Countdown」",-,Soundgraphics Inc.(Christoffer Jonssonがロスター掲載),https://soundgraphics.net/contact/ar/,-,日本語フォームで到達可,未着手,,,&TEAMを実際に書いたチーム
A,C:海外×日本窓口,Andy Love,Andy Love,ソングライター/プロデューサー,海外,△(日本語窓口あり),★★☆,★★★,&TEAM「FIREWORK」,-,Soundgraphics Inc.,https://soundgraphics.net/contact/ar/,-,日本語フォームで到達可,未着手,,,
A,C:海外×日本窓口,Daniel Kim,Daniel Kim,ソングライター/プロデューサー,海外,△(日本語窓口あり),★★☆,★★★,"&TEAM「illumination」「五月雨(Samidare)」",-,Soundgraphics Inc.,https://soundgraphics.net/contact/ar/,-,日本語フォームで到達可,未着手,,,
A,D:R&B×ダンス,MATZ,MATZ,DJ/プロデューサー/ソングライター/編曲/リミキサー,日本,◎,★★☆,★★★,-,"BE:FIRST,SKY-HI,キズナアイ,NIJISANJI EN,東京ガールズコレクション公式コンピ/UNIVERSALから世界デビュー",STARBASE INC.,https://starbase.jp/contact,-,未確認,未着手,,,Matt Cabと同事務所。両名タッグの実績あり
A,D:R&B×ダンス,MONJOE,MONJOE (DATS/yahyel),プロデューサー/トラックメイカー,日本,◎,★★★,★★★,-,"BE:FIRST「Milli-Billi」「Grow Up」「SOS」,Number_i「GOAT」「BON」「INZM」,MAZZEL,JUNON",個人/BMSG系案件経由,-,X:@monjoe_,未確認,未着手,,,Number_i「GOAT」はTikTokダンス素材として大量使用。UNA案件と目的が一致
A,D:R&B×ダンス,JIGG,JIGG,プロデューサー/トラックメイカー,日本,◎,★★★,★★★,-,"ちゃんみな,HANA「Drop」「NON STOP」,AKLO,JP THE WAVY,BAD HOP,Awich,BE:FIRST",One Year War Music,-,-,未確認,未着手,,,★HANAの楽曲担当。SNS→現場売上の再現性を持つ数少ない作家
B,B:K-POP実績,ミズノゲンキ,Mizuno Genki,作詞家,日本,◎,★★☆,★★☆,"IVE,LE SSERAFIM",アニメソング多数,複数事務所をまたいで活動,-,-,未確認,未着手,,,HYBE系(LE SSERAFIM)とStarship系の両方に食い込む
B,B:K-POP実績,NICE73,ナイスナナサン,歌手/作詞/作曲/訳詞/ボーカルディレクション/MC,日本,◎(韓国語可),★★☆,★★☆,"OH MY GIRLボーカルディレクション/K-POPの日本語訳詞・日本オリジナル曲",2005年に韓国でソロ歌手デビュー,InterFM『casaricoto radio』/YouTube『NICE73deSHOW』,-,-,メディア経由で接触可,未着手,,,作家というよりK-POP業界へのハブ人材として有効
B,B:K-POP実績,YUN,YUN,ミュージシャン,日本拠点(韓国人),◎(韓国語ネイティブ),★★☆,★★☆,日韓クリエイター協業の橋渡し,-,要確認,-,-,未確認,未着手,,,韓国側作家に発注したい場合の実務窓口候補
B,A:HYBE直系,Yoshi,Yoshi,作家,日本,◎,★★☆,★★☆,&TEAM「illumination」,-,tinyvoice production,https://www.tinyvoice.com/contact/,-,未確認,未着手,,,tinyvoice打診時に併せて名前を出せる
B,A:HYBE直系,MEG,MEG,プロデューサー/作編曲/ミックス・マスタリング,日本,◎,★★☆,★★☆,-,-,MUSIC FOR MUSIC,https://www.musicformusic.jp/,-,未確認,未着手,,,作編曲からミックス・マスタリングまで一貫対応＝ショット契約で予算圧縮可
B,D:R&B×ダンス,Chaki Zulu,Chaki Zulu,音楽プロデューサー/作曲/レコーディングエンジニア,日本,◎,★★★,★★☆,-,"Awich,ANARCHY,JNKMN,SEEDA,PKCZ,MIYAVI,BENI,BE:FIRST,LDH系",YENTOWN / Husky Studio,-,-,未確認,未着手,,,YENTOWN主宰。本物感を担保したい場合の選択肢
B,D:R&B×ダンス,Ryosuke "Dr.R" Sakai,Dr. Ryo,音楽プロデューサー/作曲/作詞/編曲/ミキシング,日本(東京),◎,★★☆,★★★,-,ダンス&ボーカル系多数,MNNF(代表),https://www.dr-r.net/profile.html,X:@RyosukeDoc / IG:@dr.ryo_official,未確認,未着手,,,公式サイト・SNSが整備されコンタクト経路が最も明快
B,D:R&B×ダンス,Jazzin' park,久保田真悟 / 栗原暁,作詞/作曲/編曲/リミキサー/DJ,日本,◎,★★☆,★★★,-,"清水翔太,Kis-My-Ft2,ナオト・インティライミ,ももいろクローバーZ",tinyvoice production,https://www.tinyvoice.com/contact/,-,未確認,未着手,,,ソニーミュージック公式サイトにアーティストページあり(社内接点)
参考,X:接触不可,Elie Rizk,Elie Rizk,共同プロデュース/共作,米国,×,★★★,★☆☆,-,keshi『Requiem』ほぼ全曲の共同プロデュース,USパブリッシャー経由のみ,-,-,英語必須,対象外,,,keshi中核。日本からのアプローチは非現実的
参考,X:接触不可,Imad Royal,Imad Royal,共同プロデュース/共作,米国,×,★★★,★☆☆,-,keshi『Requiem』ほぼ全曲の共同プロデュース,USパブリッシャー経由のみ,-,-,英語必須,対象外,,,keshi中核。日本からのアプローチは非現実的
参考,X:接触不可,Patrick "j.Que" Smith,j.Que Smith,作詞,米国,×,★★★,★☆☆,-,keshi『Requiem』ほぼ全曲の作詞,USパブリッシャー経由のみ,-,-,英語必須,対象外,,,keshi中核。日本からのアプローチは非現実的
参考,X:接触不可,Malay,Malay,プロデュース,米国,×,★★★,★☆☆,-,keshi「AMEN」/Frank Ocean等,USパブリッシャー経由のみ,-,-,英語必須,対象外,,,keshi参加。日本からのアプローチは非現実的
